"","x"
"1","mantap"
"2","good"
"3","bagus"
"4","oke"
"5","terima mudah mesan"
"6","terima "
"7","mantap"
"8","oke driver sopan"
"9","aplikasi buruk"
"10","best"
"11","  batalin sen pindah alamat  driver rewel sumpah kesal"
"12","andal umat manusia"
"13","supir"
"14","mantap semoga pemerintah fasilitas layanan bijak enak"
"15","haha lucu diskon driver harga normal wkwkw"
"16","its good all"
"17","berik contoh tumpang tumpang senang mesan "
"18","mantap"
"19","bagus"
"20","ir kon  kak ku gu cv un no jn juni no need u j jimmy y alu ki lebihl oo"
"21","character"
"22",""
"23","puas"
"24",NA
"25","semoga "
"26"," promonya parah"
"27","promonya jarang bike butuh stiapa anak pergi skola"
"28","seru"
"29","bantu komitmen driver bintang"
"30","bagus"
"31","character"
"32","instal siiiiiii"
"33","bantu umkm kembang tingkat pe jual buah alternatif layanan delivery"
"34","mantap"
"35","cepat"
"36","saga  hasil memuaskan"
"37","ok"
"38","kecewa"
"39","mantap"
"40","mantap"
"41","ok google"
"42","suka"
"43","mahal ongkos murah drivernya ambil untung karyawannya gedein ongkos drivernya karyawan carik duit drivernya jangan atur sepele berat driver are understand"
"44","foto aplikasi  aplikasi foto  aplikasi  point hilang versi mode gelap"
"45","bantu"
"46","terima  tuju aman"
"47","mantap "
"48","bagus keren"
"49","mantap"
"50","bagus  apknya"
"51","memuaskan"
"52",NA
"53","bagus bantu"
"54","kemudi ramah"
"55","good"
"56","instal nyuruh instal"
"57","joss apk berat"
"58"," express bantu kirim barang cepat chat cs bantu oper barang jarak kecewa sekal kapok pesan  express"
"59"," customer  nama anisa  pergiwa no pamulang barat tangerang selatan laku oerder fiktif  food jam selasa tanggal mei saldo driver bekurang an kawan order"
"60","apknya permudahin pemilihan lokasi"
"61",""
"62","ok"
"63","bantu "
"64","susah instal ruang simpan aplikasi"
"65","good"
"66","kayak ormas modalin aplikasi"
"67"," pikir biayabiaya bikin mahal  promo pindah  kuning   biaya mesan"
"68","ok"
"69"," kemudi grb mntngkn lintas ya pnumpng pnumpng mu kslmtnmu tlh mnggjimu brlku sopan trhdp pnumpngmu pnumpngmu negur kbut kbtn tlng hrgai"
"70","bagus"
"71","alhamdulillah akun b memori penuh jemput anak alhamdulillah memuaskan abang ramah tanggungjawab cepat"
"72","instal siiiiiii"
"73","ramah sopan terima  ya"
"74"," aman"
"75","pinjam julo nih"
"76"," tarip murah  tingkatkan kinerja aplikasi"
"77"," ngotak sumpah  food mahal ongkirnya jarak dkt biaya mesan dll ya mesan jrg gratis ongkir"
"78","oke    darurat"
"79"," susah nge pasin titik map ya beda pas titik kayak supirnya jemput beda titik tinggal  blok ngomel supir pribadi ya ampun  batalin sila ya omong sopan taxi online merk buanyak juaaaauh oke buanyak"
"80","hookeee"
"81","susah terima kode tunggu muncul muncul kode nya"
"82",""
"83","bagus"
"84","puas"
"85",""
"86","mantab sejahtera driver kayak gopartner siksa mitra kembang"
"87","efisien"
"88","bantu"
"89","mesen  suai dipesen akun nonaktif bilang dana akun tangguh aneh aplikasi"
"90","manap"
"91","bagus"
"92","driver paket promo batal dll hati"
"93","lumayancepat"
"94","ok"
"95","alhamdulillah app bantu darurat"
"96","okk"
"97","kemudi  sedia muter bantu cari obat apotik mampir obat ganti tuju"
"98","ok"
"99","bantu"
"100","best "
"101","mantap  "
"102","promonya mantab"
"103","mantaaf cepat"
"104","wwwccccccccccccc ccccc ya ee edw yra tau guyon ow jes bu vivi ww air vv gue qqqqq"
"105","drivernya ramah"
"106","penanganan dana lambat srh tunggu pas alih bank terbit kacau lo"
"107","pokok puas "
"108","bantu bagus tingkat"
"109","bagus"
"110",NA
"111","ok"
"112",NA
"113","driver ramah"
"114",""
"115",NA
"116","mapsnya akurat iya restoran jarak rumah  ongkirnya harga pesan mahal"
