userName,score,at,content
Yadi .1212,5,05/24/2023 04:13:00,mantap
W W,5,05/24/2023 04:02:00,good
ross idi,5,05/24/2023 03:55:00,bagus
Rizka Afdilla,5,05/24/2023 03:55:00,oke
Ita Purnamasari,5,05/24/2023 03:53:00,terimakasih mempermudah pemesanan
Faqih Subekti,5,05/24/2023 03:52:00,terimakasih
Laode Rezky,5,05/24/2023 03:49:00,mantap
Hafiz Arya,5,05/24/2023 03:38:00,oke driver jg sopan
Pungki Slamet,1,05/24/2023 03:31:00,Aplikasi terburuk ðŸ‘ŽðŸ‘ŽðŸ‘Ž
Fawwaz Jaya,5,05/24/2023 03:29:00,best
Elisa Damayanti,1,05/24/2023 03:27:00,"grab kenapa si mau batalin pesenan pindah alamat aja gak bisa, mana klo dpt driver yg rewel sumpah ngeselin"
Agnes Dianita,5,05/24/2023 03:03:00,andalan umat manusia
Rosi Salsa,5,05/24/2023 02:45:00,supir baik
Riyatna Nana,2,05/24/2023 02:40:00,"mantap, semoga lebih baik, dan pemerintah hanya perlu memfasilitasi layanan ini, bukan buat kebijakan seenaknya.."
Muhammad Nurdin,1,05/24/2023 02:03:00,HAHA LUCU DAPET DISKON TAPI DRIVER NYA MALAH MINTA TAMBAH HARGA NORMAL WKWKW
Elsa Damayanti,5,05/24/2023 01:56:00,its good all
Darman Su,5,05/24/2023 01:30:00,"Memberikan contoh yg baik pada penumpang,supaya penumpang senang dan bisa memesan grab lagi."
Ozy Maulana,5,05/24/2023 01:24:00,mantap
Hamina daeng sunggu,5,05/24/2023 01:20:00,bagus
Ibu Suparmi,5,05/24/2023 01:13:00,Ir Kon PK k ku gu dr&()(' CV yg UN no. Jn Juni no need u6j Jimmy 6y 66 ke 6alu itu 7 Ki p lebihl oo9
Eliah Lia,5,05/24/2023 01:04:00,ðŸ‘?ðŸ‘?ðŸ‘?
Akbar Salma,5,05/24/2023 00:53:00,sangat baik
Makailah 11,5,05/24/2023 00:52:00,puas
Cinta Noviasih,5,05/24/2023 00:28:00,baik
Yayank Herna,5,05/24/2023 00:05:00,semoga grab se
